brand,review_count,avg_sentiment,avg_rating,positive_pct,negative_pct
Noalto,1347,0.472,3.91,75.72,15.00
Amazon Basics,2420,0.4711,4.33,77.93,11.12
Sametech,669,0.471,4.35,77.73,12.11
Golden Icepure,3214,0.4701,4.59,78.41,7.56
Mrkg,742,0.4698,4.34,74.12,9.30
Della,2955,0.4697,3.92,75.60,16.14
Range Kleen,8927,0.4694,4.1,77.10,11.89
Spt,2261,0.469,3.95,76.51,16.45
Prysm,7004,0.4688,4.54,77.84,10.15
Housewares Solutions,3310,0.4682,4.34,76.07,8.79
Edgestar,1136,0.4678,3.89,75.97,18.31
Think Gizmos,1254,0.4673,3.77,75.20,16.43
Pure Green Water Filter,2184,0.4669,4.55,77.66,7.05
Crystala Filters,3347,0.4669,4.44,78.40,8.93
Nispira,5394,0.4668,4.65,77.94,5.84
Magic Chef,2355,0.4667,3.93,76.86,16.43
Black+decker,2227,0.4653,3.99,74.63,17.56
Dista,1268,0.4652,4.4,78.63,9.38
Aqualink,543,0.4651,4.55,78.45,7.73
Chemex,2481,0.4638,4.39,77.83,10.32
Apexstone,574,0.4633,4.55,77.18,6.62
Cable Matters,550,0.4631,4.86,75.64,4.73
Napc,1083,0.4606,4.43,77.65,9.79
Pureplus,5730,0.4599,4.48,77.24,9.01
Purehq,3126,0.4594,4.48,75.18,9.37
Pro Mael,2463,0.4592,4.48,77.95,9.74
Maxblue,2911,0.4581,4.51,77.57,9.34
Stock Your Home,2098,0.458,4.42,76.45,10.25
Flsepamb,1981,0.4568,4.31,74.91,10.50
Marriotto,2093,0.4567,4.5,76.78,8.46
Collections Etc,797,0.4564,4.07,74.15,11.42
Itemporia,773,0.4555,4.32,74.90,10.48
Mist,5274,0.4554,4.51,77.57,8.85
Upstart Battery,3339,0.4545,4.48,77.48,8.21
New Star Foodservice,874,0.4544,4.34,75.86,8.12
Best,5251,0.4543,4.55,78.56,7.05
Purespring,547,0.4542,4.51,77.15,7.86
Linkez,2554,0.453,4.68,77.09,10.38
Icepure,21228,0.4513,4.42,77.32,9.47
Overbest,1115,0.4512,4.41,75.87,9.33
Akdy,2037,0.4505,3.79,75.55,17.53
Kitchen Basics 101,16414,0.4504,4.25,75.36,12.49
Krups,724,0.4503,4.3,76.52,10.22
Air King,653,0.4503,4.16,77.49,12.56
Lifeplus,533,0.4501,3.86,73.17,16.89
Capmesso,5283,0.4489,3.94,74.81,15.79
Watersentinel,6012,0.4477,4.21,78.26,12.62
Omaeon,583,0.4474,4.47,76.84,9.95
Purewater Filters,2630,0.4473,4.16,76.27,12.51
Robertshaw,702,0.4468,4.61,75.64,12.11
Excelpure,1553,0.4449,4.54,75.53,8.11
Swagitloud,2219,0.4447,3.95,74.81,15.68
Danby,4245,0.4442,3.81,75.43,17.76
Possiave,4064,0.444,4.6,76.06,6.37
Napco Made In America 279838 And 279816,785,0.4432,4.42,75.67,9.81
Refresh,10433,0.4422,4.37,76.38,10.34
Lifetime Appliance Parts,18678,0.4408,4.42,75.20,12.19
Supco,15271,0.4393,4.46,76.07,11.56
Perfectpure,1078,0.4391,4.29,77.37,9.74
Z Line Kitchen And Bath,982,0.4389,3.7,73.83,20.26
Leeyean,625,0.4385,4.13,74.88,14.56
Gevi Household,1115,0.4383,3.5,73.90,20.18
Napco,2018,0.4378,4.33,74.38,10.36
Brew Rite,2710,0.4372,4.61,75.61,8.08
Water Line Buddy,1167,0.4372,4.69,74.98,10.71
Hario,3210,0.4365,4.38,75.76,10.72
Empava,2428,0.4359,3.74,73.35,18.41
Ivation,2172,0.4358,3.73,74.13,17.36
Denali Pure,641,0.4355,4.31,76.44,9.20
Forlivese,769,0.4347,4.13,73.34,11.31
Stoveguard,1702,0.4347,3.49,72.03,18.27
Midea,3454,0.4337,4.17,74.52,15.34
Crucial Vacuum,502,0.4319,4.31,76.49,10.56
Brewslang,1028,0.4318,4.19,74.22,12.84
Glacier Fresh,7600,0.4313,4.34,74.72,10.45
Calpalmy,2403,0.431,4.41,74.24,12.65
Ruoying,2713,0.4304,4.0,73.39,15.11
Nicelucky,774,0.4299,4.1,72.22,14.99
Miaowater,657,0.4299,4.24,70.62,11.87
Zeny,952,0.4298,3.75,70.27,19.01
Livingaid,1503,0.4293,4.08,72.06,13.71
Air Filter Factory,2306,0.4289,4.32,75.28,8.93
Newair,4307,0.4284,3.71,73.51,18.37
Erp,14635,0.4283,4.41,74.67,12.25
"Af All- Filters, Inc. The American Filter Company",937,0.4282,4.33,73.11,9.71
Yeenor,1274,0.427,4.41,74.80,9.73
Everyday,5900,0.4269,4.38,75.44,8.76
Mr.you,985,0.4256,4.32,69.54,10.36
Think Crucial,1050,0.4249,4.13,73.90,13.24
Azdele,5035,0.4243,4.31,74.08,14.42
Suphomie,927,0.4237,4.32,73.46,13.92
Fette Filter,3743,0.4237,4.41,74.62,8.90
Miles Kimball,2221,0.4235,4.04,73.75,13.01
Arrowpure,659,0.4235,4.42,74.36,11.23
Xcellent Global Xg,669,0.4231,4.15,73.24,13.00
Wanai,867,0.4226,3.94,70.24,15.69
As Seen On Tv,752,0.4225,3.74,72.74,18.62
Wotow,638,0.4221,4.18,73.51,14.11
Endurance Pro,2583,0.4219,4.38,74.37,11.61
Kicovitifa,3881,0.4218,3.98,71.79,15.41
Whirlpool,108584,0.4213,4.48,74.19,12.03
Café Brew Collection,2241,0.4212,4.1,73.81,15.22
Cuisinart,11958,0.4209,4.08,73.85,14.89
Sanjoin,1554,0.4202,4.62,73.62,10.88
Ro6g,948,0.4202,4.34,73.73,12.55
Melitta,13468,0.4201,4.47,73.99,9.44
Xike,1097,0.4191,4.2,72.20,15.04
Antarctic Star,1246,0.4185,3.77,72.71,17.50
Enterpark Only,758,0.4183,4.58,75.07,11.48
Haier,1293,0.4181,4.02,72.31,16.94
Tier1,9212,0.4163,4.27,74.65,11.43
Duraflow Filtration,528,0.4162,4.22,73.11,10.61
Kuppet,2701,0.4162,3.78,70.09,19.81
Helesin,1641,0.415,4.07,72.15,13.65
Dsyj,1096,0.4148,4.11,74.09,14.32
Petode,1207,0.4144,3.95,71.91,16.57
Reston Lloyd,3939,0.4139,3.92,71.64,12.74
Aprilaire,5875,0.4137,4.62,73.77,8.56
Onepurify,1438,0.4128,4.16,75.87,11.20
Xpartco,1122,0.4126,4.55,72.46,9.98
Rupert & Jeoffrey's Trading Co.,526,0.4117,4.4,71.86,10.84
Garp,1250,0.4112,4.36,72.16,12.48
Goldtone,5881,0.4106,4.21,72.81,13.08
Corecentric Solutions,587,0.4104,4.36,72.74,13.97
Seisso,832,0.4094,4.34,73.20,11.78
Rovsun,1304,0.4091,3.92,68.25,19.86
Kismile,1662,0.4087,3.77,71.90,18.29
Mayitop,1597,0.4083,4.4,72.51,11.96
Kalamera,646,0.4081,3.65,70.59,21.98
Aieve,604,0.4078,3.68,71.52,17.22
Techecook,916,0.4073,4.37,73.36,12.55
What's Up?,580,0.4058,4.59,75.00,12.93
Dr Quality Parts,5148,0.4044,4.73,71.27,10.16
Podoy,3204,0.4043,4.22,72.07,13.11
Femitu,725,0.4041,4.38,72.55,11.72
Coghlan's,1146,0.404,4.21,74.00,14.49
Waterwater Filterstm,749,0.4038,4.12,75.03,13.08
Ge Profile,5691,0.4034,3.32,72.22,22.60
Recaps,2039,0.4033,3.87,70.62,17.46
Jacs,2275,0.4031,4.38,72.35,15.08
Appliancemates,1741,0.4026,4.13,71.11,14.88
Hxmls,782,0.4024,4.77,72.63,9.46
Blutoget,2284,0.4016,4.33,71.63,13.70
Asfroy,1533,0.4013,4.26,71.89,12.46
Ecopure,555,0.4012,4.3,73.33,13.69
Invensys,965,0.4011,4.56,71.09,12.54
Simplecups,6366,0.4009,3.95,72.82,15.55
Dcs Deals,504,0.4006,4.06,72.22,14.88
Mr. Coffee,2176,0.4006,4.33,72.52,10.80
Fino,1620,0.4002,3.99,71.98,15.12
Nutrichef,840,0.3999,3.64,72.38,19.17
Camco,808,0.3996,4.25,72.28,13.12
Certified Appliance Accessories,1666,0.398,4.52,73.53,10.92
De'longhi,1023,0.3976,4.34,70.28,10.46
If You Care,1622,0.3976,4.2,73.86,13.63
Amana,783,0.3971,4.18,73.44,16.48
Norcold Inc,1418,0.3968,4.48,73.55,12.83
Costway,5864,0.3962,3.74,69.56,19.85
Durabasics,769,0.3959,4.09,71.78,11.05
Vicks,850,0.3959,4.21,72.59,14.24
Sooyee,576,0.3959,4.16,69.27,14.06
Supplying Demand,10888,0.3958,4.38,72.08,14.13
Efp,698,0.3956,4.25,72.92,10.46
Hansgo,1431,0.3953,4.18,72.47,17.40
Silonn,4843,0.395,3.75,70.20,18.58
Dryer Dock,774,0.3943,4.29,73.00,14.47
Edgewater Parts,4848,0.3941,4.3,72.24,13.41
Stanco,3554,0.3941,3.93,70.65,15.50
Colorfullife,1461,0.394,4.17,72.14,10.47
Yeechun,723,0.3937,4.14,72.20,18.40
Maxrona,3769,0.3932,3.9,69.30,15.26
Jovitec,876,0.393,4.04,71.00,14.38
Partsbroz,9849,0.3925,4.25,72.08,15.17
Crucial Air,517,0.3922,4.12,70.99,11.41
Recycle A Cup,1300,0.392,3.88,72.85,20.62
Keurig,5514,0.391,3.9,70.87,17.48
Sumnew,3955,0.3909,4.2,70.75,14.94
Super Deal,3771,0.3909,3.62,68.42,21.59
Water Filter Tree,718,0.3906,4.13,72.14,14.48
Gasland,926,0.3906,3.7,70.52,19.44
Clear Choice,638,0.3903,3.98,74.92,14.73
S-union,1271,0.3898,4.13,71.28,17.70
Monkemon,13238,0.3892,4.16,71.45,16.92
Hqapr,858,0.3888,4.38,72.61,13.64
Lforbb,3212,0.3879,4.17,70.21,15.38
Ximoon,1381,0.3874,4.25,70.38,11.37
Evertechpro,1648,0.3871,4.3,71.12,14.99
Holikme,973,0.3868,4.16,70.71,17.27
Ge,67653,0.3867,4.3,71.53,14.01
Bluestars,46587,0.3866,4.32,70.99,14.16
Bunn,7353,0.3865,4.54,69.60,10.20
Seneca River Trading,1649,0.3863,4.25,70.16,14.31
Whynter,3406,0.3861,3.75,71.02,19.03
Boao,673,0.3858,3.79,68.05,14.41
Discount Parts Direct,6363,0.3846,4.28,70.78,14.57
Replacementbrand,542,0.3842,4.01,71.03,17.16
Dreamiracle,801,0.3831,3.63,70.79,19.73
Pokin,1282,0.3831,4.35,70.12,13.57
Primeco,1723,0.3828,4.45,70.52,16.13
Oem Mania We Care Your Difficulty.,1470,0.3821,4.58,70.20,14.15
Repairwares,1331,0.382,4.28,71.75,14.27
Frigidaire,68580,0.3816,4.19,70.92,15.19
Beaquicy,10330,0.3813,4.3,70.64,14.11
Granitegrabers,857,0.3812,3.66,69.54,17.85
Ymdparts,2740,0.3811,4.35,71.39,14.23
Usonline911,525,0.381,4.3,69.33,11.24
Ecumfy,900,0.3804,4.21,71.00,16.00
Btntven,2648,0.3799,4.18,70.32,15.37
Cenipar,1663,0.3792,4.04,70.05,15.09
Inkbird,2324,0.3783,4.0,70.05,16.91
T-h-see,764,0.3781,4.04,70.81,14.92
Ziggurat Products,1614,0.3761,3.7,70.63,18.96
Lg,31736,0.3748,4.29,70.94,15.54
Pyle,672,0.3741,3.54,68.60,22.62
Magideal,1152,0.3739,3.97,71.35,15.45
Climatek,1047,0.3733,4.3,71.73,16.43
Aqua Fresh,1573,0.3729,4.01,71.65,14.37
Galanz,951,0.3726,3.58,70.03,23.13
Dreld,1309,0.3719,4.4,69.21,13.22
Newlifeapp,598,0.3718,4.22,71.40,13.88
Filterbuy,1516,0.3713,4.04,70.65,12.53
Premium-plus,1129,0.3711,3.46,68.56,21.52
Trustech,843,0.3709,3.52,68.09,21.95
Kenmore,7674,0.3707,4.06,70.05,17.20
Foreverpro,1999,0.3706,4.21,69.83,15.86
Swift Green Filters,2365,0.3705,3.75,71.12,18.52
Honeywell,2562,0.3701,4.16,69.40,13.86
Noa,1486,0.3697,4.05,69.11,15.14
After Market Parts,618,0.3686,4.11,68.45,16.67
Ansoon,1276,0.3668,4.21,69.28,14.34
Eagleggo,2414,0.3668,4.13,68.85,15.24
Metronic,1923,0.3661,3.78,69.79,20.96
Yesker,1235,0.3656,3.82,69.15,17.98
Whole Parts,902,0.3655,4.14,69.51,17.96
Canamax,1444,0.3654,4.25,69.46,15.51
Atma Supply,3185,0.3651,4.16,69.67,16.58
Prime&swift,4534,0.3645,4.24,69.39,15.66
Luma Comfort,545,0.3645,3.29,68.81,22.94
Funmit,3109,0.3642,4.16,69.12,15.95
Fisher & Paykel,1038,0.3639,4.15,70.62,17.63
Electrolux,4623,0.3636,4.25,70.19,15.10
Grete Gotye,2305,0.3632,4.07,68.46,16.83
Ami Parts,17122,0.3627,4.12,68.92,15.85
Northair,1208,0.3622,3.79,68.54,20.45
Romalon,7034,0.3619,4.13,68.98,16.68
Hamilton Beach,2895,0.361,3.93,68.70,16.93
Free Village,2465,0.3608,3.59,66.98,22.47
Aglucky,4738,0.3599,3.6,68.11,21.61
Appliancemate,1490,0.3593,4.15,68.12,17.25
Upstart Components,2203,0.3588,4.22,68.27,15.98
Konduone,1929,0.3577,3.96,68.64,17.52
Vivohome,2166,0.3568,3.64,68.19,21.33
Fetechmate,800,0.3567,3.98,68.25,16.88
Blendin,1362,0.3558,4.06,69.09,16.52
Eastman,2166,0.3552,4.31,69.67,14.40
Acurite,990,0.3546,3.98,69.09,16.26
Antoble,2519,0.3544,4.23,68.28,15.44
Appliance Pros,1114,0.3532,4.11,67.77,17.06
Earthtec,514,0.353,4.2,67.90,16.15
Igloo,8561,0.3514,3.52,67.90,21.96
Goabroa,2788,0.3513,3.9,66.18,14.99
Lonye,845,0.3499,4.41,67.69,13.37
Siwdoy,5083,0.3498,4.06,67.66,17.41
Holmes,1488,0.3496,4.22,68.55,12.57
Tomoon,2645,0.3491,4.27,68.66,17.43
Veanic,622,0.3479,4.31,67.85,11.90
Electactic,665,0.3469,3.73,66.77,20.90
Dinghosen,572,0.3464,4.46,66.78,16.26
Poweka,990,0.3463,3.98,69.09,17.27
Vornado,1126,0.3461,3.97,69.01,14.39
Generic,1266,0.3459,3.78,67.61,17.69
Wadoy,1947,0.3433,4.13,68.36,17.98
Bestair,3561,0.3432,4.21,68.66,13.45
Lorenz Butterfly,532,0.3428,3.95,67.86,19.17
Auko,617,0.3416,4.3,66.13,14.91
Samsung,30632,0.3412,4.13,68.55,17.98
Aircare,2461,0.3395,4.15,68.67,13.04
Ultrasac,872,0.3393,3.78,68.81,19.61
Deflecto,7674,0.3388,3.93,67.36,17.98
Koolatron,886,0.3386,3.6,67.72,22.57
Dundas Jafine,4208,0.3366,3.87,67.51,16.87
Ketofa,715,0.3354,4.03,66.57,16.92
Fbulwsec,738,0.3354,4.02,67.75,18.02
Octopus,945,0.3353,3.9,68.36,19.37
Kelaro,1177,0.3347,4.2,67.03,15.21
Hqrp,1684,0.3345,4.12,67.34,15.26
Rupert And Jeoffrey's Trading Co.,968,0.3331,4.08,66.32,14.67
Mg Coffee,729,0.3328,3.56,64.20,20.58
Sikawai,2735,0.3327,4.08,66.73,18.10
Cykemo,1481,0.3326,4.15,66.78,17.69
Bosch,4428,0.3325,3.98,68.56,20.55
Empire Of Electronics,579,0.3281,4.31,69.08,20.55
Impresa,2803,0.3276,4.01,64.93,17.09
Pro Tec,664,0.3245,4.14,65.21,15.06
Essential Values,677,0.3217,3.83,64.40,15.51
Reyhoar,1015,0.3217,3.87,64.63,22.27
General Electric,2316,0.3208,4.0,67.57,18.87
Lambro,2028,0.3186,4.12,66.47,16.22
Builder's Best,980,0.3165,3.86,66.73,18.88
Avanti,1046,0.3144,3.34,64.72,25.91
Hotop,768,0.3143,3.98,64.97,18.75
Enj Products Llc,834,0.3132,4.3,66.79,22.18
Amazon Renewed,753,0.3114,3.54,64.14,21.12
Everydrop By Whirlpool,15828,0.3091,4.05,66.07,16.48
Seentech,2769,0.3074,4.04,64.43,18.74
Lasco,519,0.3034,4.14,63.78,15.61
Smart Choice,1379,0.3009,3.63,63.89,20.38
Applianpar,799,0.3007,4.05,64.21,19.40
Yrym Ht,1127,0.3006,3.42,63.18,22.45
Sold_by_cheapnwork,510,0.2982,3.95,64.12,17.25
Wholesale Sensors,506,0.298,4.25,62.25,15.61
Aiktryee,746,0.2957,3.58,60.86,18.50
Essick Air,1769,0.2929,4.29,64.50,15.77
Brbhom,2257,0.2926,3.43,62.34,22.95
Maytag,2352,0.2915,3.73,66.54,23.51
Sunny Town,613,0.2853,3.35,61.83,25.94
Rca,3475,0.2757,3.32,62.62,26.39
Fox Run,1268,0.2737,3.26,60.25,21.85
Koolerthings,779,0.2696,3.17,62.77,26.32
E-cowlboy,515,0.267,3.92,64.08,19.22
Nippon Power,544,0.2646,4.23,59.74,14.71
Alchemy Bar Goods,1014,0.2629,3.06,58.09,25.54
Pureguardian,1198,0.254,3.64,62.60,21.04
Vloeisn,578,0.2505,3.59,61.42,27.51
Ideaworks,780,0.2421,4.03,59.87,22.18
Zhehao,622,0.2401,3.85,58.52,22.51
Roadpro,506,0.2392,3.31,58.30,21.74
Skywin,524,0.2307,2.97,56.68,29.77
Kitchenaid,1330,0.2293,3.19,61.43,29.25
Mylifeunit,940,0.2244,3.68,55.96,20.43
Ezatrading,598,0.2172,3.99,61.87,27.93
Tops,962,0.2124,2.98,57.69,26.92
Jetec,1036,0.1908,3.22,52.70,27.51
Cctp,540,0.1843,3.18,52.78,27.78
Aqua Plumb,643,0.089,2.54,44.32,39.04
