parent_asin,pagerank_score,pagerank_normalized,title,brand,subcategory,main_category,price,average_rating,rating_number,image_url
B0CBQFJQ6F,263.6138642965695,0.405975,"Waterdrop DA97-17376B Replacement for Samsung HAF-QIN/EXP, DA97-08006C, RF28R7201SR, RF28R7351SG, WD-F45, Refrigerator Water Filter, 3 Filters",Waterdrop,Water Filters,Tools & Home Improvement,29.59,4.6,4673,https://m.media-amazon.com/images/I/61qxcuK5juL._AC_SL1500_.jpg
B0C7GCZ44M,263.1930579594795,0.405326,"Waterspecialist MWF Refrigerator Water Filter, Replacement for GE® Smart Water MWFP, MWFA, GWF, HDX FMG-1, WFC1201, GSE25GSHECSS, PC75009, RWF1060, 197D6321P006, NSF42&372 Certified, 4 Filters",Waterspecialist,Water Filters,Appliances,40.99,4.7,13789,https://m.media-amazon.com/images/I/71cAdmwl90L._AC_SL1500_.jpg
B0CCQYBVT9,252.7030409149345,0.389145,"EcoAqua EFF-6005A Replacement for LG® LT500P®, ADQ72910901, 5231JA2002A, Kenmore GEN11042FR-08, 9890, 46-9890 Refrigerator Water Filter",Ecoaqua,Water Filters,Appliances,12.99,4.8,876,https://m.media-amazon.com/images/I/71KaA9GQ4JL._AC_SL1500_.jpg
B0C85M2F4G,249.12057909283936,0.383619,"Waterdrop DA29-00003G Refrigerator Water Filter, Replacement for Samsung DA29-00003G, DA29-00003B, DA29-00003A, Aqua-Pure Plus, HAFCU1, RFG237AARS, FMS-1, RS22HDHPNSR, RSG257AARS, WSS-1, 3 Filters",Waterdrop,Water Filters,Tools & Home Improvement,27.69,4.7,4374,https://m.media-amazon.com/images/I/61iSlB2N1LL._AC_SL1500_.jpg
B0C7LQXQN7,224.8401912540716,0.346165,"Pureline DA29-00020B, Replacement for Samsung DA29-00020B, Kenmore 46-9101, 469101, 9101, 4609101000, Refrigerator Water Filter.Triple Action Filtration, NSF 372 and NSF 42 Certification (6 Pack)",Pureline,Water Filters,Amazon Home,59.99,4.6,3177,https://m.media-amazon.com/images/I/717GzSMJ57L._AC_SL1500_.jpg
B0C9MRH82R,220.42209007368308,0.33935,"Trash Compactor Bags - (40 Pack with Ties) 18 Gallon for 15 inch Compactors - 25\" x 35\" Heavy Duty 2.5 MIL Garbage Disposal Bags Compatible with Kitchenaid Kenmore Whirlpool GE Gladiator",Ultrasac,Parts & Accessories,Industrial & Scientific,19.99,4.3,5809,https://m.media-amazon.com/images/I/6171PiqHQpL._AC_SL1000_.jpg
B0C8J6NNBT,219.12741261224377,0.337353,"EZBASICS Reusable K Cups for Keurig, Universal Refillable Coffee Filters for Single Serve Coffee Maker, 6-Pack of Reusable Pods, Black",Ezbasics,Reusable Filters,Amazon Home,9.99,4.4,3993,https://m.media-amazon.com/images/I/718bj2kWt5L._AC_SL1500_.jpg
B0CC24FY8S,217.76187602029344,0.335246,"Maxblue UKF8001 Refrigerator Water Filter, Replacement for Maytag UKF8001, EDR4RXD1, EveryDrop Filter 4, Whirlpool 4396395, UKF8001AXX-200, Kenmore 469006, 469992, Puriclean II, Pack of 3",Maxblue,Water Filters,Tools & Home Improvement,23.99,4.7,1499,https://m.media-amazon.com/images/I/71MOZSTzUyL._AC_SL1500_.jpg
B0CC1SMKGM,207.49937648798146,0.319416,"COLETTI Nomads – Single Serve Pour Over Coffee – Camp Coffee Bag - Drip Bag Coffee, Single Serve Pour Over Drip Coffee - Single Drip Coffee Filters (Pack of 100)",Coletti,Disposable Filters,Amazon Home,22.4,4.4,66,https://m.media-amazon.com/images/I/81b4v1d4SZL._AC_SL1500_.jpg
B0C7CKLVXW,196.66511861074162,0.302703,"EcoAqua EFF-6007A Replacement Filter, Compatible with Maytag UKF8001, EDR4RXD1, Whirlpool 4396395, Puriclean II, Kenmore 46-9006, Everydrop Filter 4, Viking RWFFR Refrigerator Water Filter, 3 Pack",Ecoaqua,Water Filters,Tools & Home Improvement,27.99,4.7,3083,https://m.media-amazon.com/images/I/81GG8jMYlHL._AC_SL1500_.jpg
B0C7KTD41L,187.81356150209012,0.28905,"Stove Gap Covers Kitchen Counter Gap Covers (25 Inch, 2 Pack) Heat Resistant Oven Gap Filler Seals Gaps Between Stovetop and Counter, Easy to Clean, Black",Flsepamb,Accessories,Amazon Home,8.99,4.3,16380,https://m.media-amazon.com/images/I/51wltBFbK1L._AC_SL1156_.jpg
B0B3DB5HTC,186.17635316949136,0.286524,12 Pack Keurig Filter Replacement by K&J - Compatible with Keurig Coffee Machine (2.0 and older),K&j,Disposable Filters,Amazon Home,,4.7,51830,https://m.media-amazon.com/images/I/61vsC6JZeAL._AC_SL1039_.jpg
B0CG58WFZX,164.43119552860497,0.252981,Melitta Basket Coffee Filters Natural Brown Unbleached 100 Count,Melitta,Disposable Filters,Amazon Home,5.88,4.8,5472,https://m.media-amazon.com/images/I/71FZcuKhllL._AC_SL1500_.jpg
B0C57WMPJQ,162.5237656864744,0.250039,"Silonn Ice Makers Countertop, 9 Cubes Ready in 6 Mins, 26lbs in 24Hrs, Self-Cleaning Ice Machine with Ice Scoop and Basket, 2 Sizes of Bullet Ice for Home Kitchen Office Bar Party",Silonn,Ice Makers,Appliances,80.97,4.4,20318,https://m.media-amazon.com/images/I/61eMsTk4w0L._SL1500_.jpg
B0C7G1VY62,157.44108986305685,0.242199,"EcoAqua EFF-6003A Refrigerator Water Filter, Replacement for LG® LT600P®, 5231JA2006A, 5231JA2006B, KENMORE 46-9990, 9990, 469990 Refrigerator Replacement Filter",Ecoaqua,Water Filters,Industrial & Scientific,13.99,4.7,1522,https://m.media-amazon.com/images/I/51fexXc-kOL._AC_SL1500_.jpg
B0C5YSMG64,153.77482070719938,0.236543,"Broan-NuTone 30-inch Under-Cabinet 4-Way Convertible Range Hood with 2-Speed Exhaust Fan and Light, 230 Max Blower CFM, Black Stainless Steel",Broan-nutone,Range Hoods,Appliances,,4.5,8088,https://m.media-amazon.com/images/I/61v-NFmQMaL._AC_SL1500_.jpg
B0BTSQRXNZ,149.78682791194987,0.230391,"Aprilaire 35 Water Panel Humidifier Filter Replacement for Aprilaire Whole House Humidifier Models 350, 360, 560, 560A, 568, 600, 600A, 600M, 700, 700A, 700M, 760, 760A, 768 (Pack of 2)",Aprilaire,Accessories,Industrial & Scientific,26.49,4.8,23495,https://m.media-amazon.com/images/I/71yigq0DOtL._SL1500_.jpg
B0C61PCSGR,149.29052124934245,0.229626,"Waterdrop XWF NSF Certified Replacement for GE® XWF Refrigerator Water Filter, 2 Filters (Package may vary)",Waterdrop,Water Filters,Amazon Home,23.99,4.6,10437,https://m.media-amazon.com/images/I/7164y6hHqCL._AC_SL1500_.jpg
B0C7GSPG5Q,144.59652633959143,0.222385,"FilterLogic DA29-00020B Refrigerator Water Filter, Replacement for Samsung HAF-CIN, HAF-CIN/EXP, DA29-00020A/B, DA97-08006A, RF28HMEDBSR, RF4287HARS, RF263TEAESG, RH22H9010SR, 4 Pack",Filterlogic,Water Filters,Amazon Home,33.99,4.7,4600,https://m.media-amazon.com/images/I/81ZEBPjl9EL._AC_SL1500_.jpg
B0C995ZDVL,142.80923431715652,0.219628,Reusable K Cups Fit for Keurig 2.0 and 1.0 Coffee Maker - Stainless Steel K Cup Reusable - Universal Refillable K Cup Filter BPA FREE (2 PACK),Yeosen,Reusable Filters,Amazon Home,22.99,4.2,1710,https://m.media-amazon.com/images/I/61Js6yHvNEL._AC_SL1500_.jpg
B0CB1DZM25,136.81604555070805,0.210383,"COWSAR Ice Makers Countertop, Ice Maker Machine 6 Mins/9 Pcs Bullet Portable Ice Maker Machine 26.5lbs/24Hrs with Self-Cleaning, Ice Scoop and Basket, Ice Maker for Party/Kitchen/Home/Office",Cowsar,Ice Makers,Industrial & Scientific,109.99,4.4,79,https://m.media-amazon.com/images/I/71ljl1kXJ-L._SL1500_.jpg
B0BW9MF3WP,133.7027745544959,0.205581,ULTRA DURABLE 3406107 Dryer Door Switch Replacement part by BlueStars - Easy to Install - Exact fit for Whirlpool & Kenmore Dryers - Replaces 3406109 3405100 3405101 3406100 3406101 - PACK OF 4,Bluestars,Replacement Parts,Tools & Home Improvement,13.99,4.8,25,https://m.media-amazon.com/images/I/712i2YIVwYL._AC_SL1500_.jpg
B0BVFQY9HH,133.021597520849,0.20453,"Waterdrop DA29-00020B NSF 53&42 Certified Refrigerator Water Filter, Replacement for Samsung DA29-00020B, DA29-00020A, HAF-CIN/EXP, 46-9101, WDS-F27, 1 Filter",Waterdrop,Water Filters,Tools & Home Improvement,19.59,4.7,27172,https://m.media-amazon.com/images/I/51Up7tPDmGL._AC_SL1500_.jpg
B0CF8R92J6,132.0553537240946,0.20304,"ZAFRO Ice&Cold&Hot Ice Makers Countertop with Water Dispenser, 12 Cubes in 7 Mins 44Lbs/24H Stainless Steel Bullet Ice Maker Suitable for Home Office Kitchen & Bar with Child Safety Lock",Zafro,Ice Makers,Industrial & Scientific,284.99,4.2,125,https://m.media-amazon.com/images/I/71uEacGtb6L._SL1500_.jpg
B0C4SPLL78,128.78519497462153,0.197995,(2023 Update) 341241 Dryer Drum Belt Replacement Part by BlueStars - Exact Fit for Whirlpool Kenmore Dryer - Replaces 8066065 AP2946843 W10127457 PS346995 14210003 31531589 31001026 3394651 529597,Bluestars,Replacement Parts,Appliances,8.61,4.5,5868,https://m.media-amazon.com/images/I/81LhkHsAcrL._AC_SL1500_.jpg
B0C89J23ZB,127.6082906077023,0.19618,"4 Reusable K Cups for Keurig K Supreme, K Supreme Plus and K Slim with Multistream Technology - 4 Black Refillable Kcups Coffee Filters for Keurig Coffee Makers",Goodcups,Reusable Filters,Amazon Home,13.95,4.3,3096,https://m.media-amazon.com/images/I/81H64zKz7dL._AC_SL1500_.jpg
B0C5BHXVH1,123.7813087301974,0.190277,"Pureline EDR4RXD1 Replacement for Everydrop Filter 4, UKF8001, UKF8001AXX-750, UKF8001AXX-200, Maytag UKF8001, Whirlpool EDR4RXD1, 4396395, Kenmore 9084, 9006, Puriclean II, (5 Pack)",Pureline,Water Filters,Amazon Home,49.99,4.7,8751,https://m.media-amazon.com/images/I/81ud0LsOPtL._AC_SL1500_.jpg
B0C7GRQN3B,123.11762287686231,0.189253,"Filterlogic UKF8001 Replacement for EveryDrop by Whirlpool Refrigerator Water Filter 4, EDR4RXD1, FL-RF07, Pack of 2",Filterlogic,Water Filters,Amazon Home,22.99,4.8,1633,https://m.media-amazon.com/images/I/71ngKZLpHzL._AC_SL1500_.jpg
B0CDFN6TKH,122.41164779956067,0.188164,"Joy Pebble Ice Maker, Commercial Ice Maker Machine，100lbs/day with Auto Water Inlet System,45 Cubes/Sheet,7-Gear Ice Thickness,24-Hour Timer,Ice Machine for Bar,Restaurant,Home,Office",Joy Pebble,Ice Makers,Industrial & Scientific,319.99,4.3,681,https://m.media-amazon.com/images/I/716Yt14Oq0L._SL1500_.jpg
B0BXWBPVYS,121.46669459711488,0.186706,"Waterdrop EDR4RXD1 Compatible with EveryDrop Filter 4, Whirlpool UKF8001, 4396395, Maytag UKF8001AXX-200, UKF8001AXX-750, WD-F07, Refrigerator Water Filter, 2 Filters",Waterdrop,Water Filters,Tools & Home Improvement,21.99,4.7,15184,https://m.media-amazon.com/images/I/61WGebIA1nL._AC_SL1500_.jpg
B0C6XXHWCW,119.20557974115324,0.183218,"Waterdrop 5231JA2006A Replacement for LG® LT600P®, KENMORE 9990, 5231JA2006B, KENMORECLEAR 46-9990, WFC2001, LSC27931ST, LFX25960ST, FML-2, RWF1000A Refrigerator Water Filter, Package May Vary",Waterdrop,Water Filters,Amazon Home,14.99,4.7,2728,https://m.media-amazon.com/images/I/61JViMkCr8L._AC_SL1500_.jpg
B0C8TR1Y1N,116.43057563320137,0.178938,"Whirlpool PT220L Genuine OEM 3-Prong 30-Amp Power Cord For Electric Dryers 3-Prong 30-Amp 4 Feet Grey replaces W10830966, 4392905, 3389955, 694045, 4392905R, 4319131, 661592, 687104, 694044",Whirlpool,Replacement Parts,Tools & Home Improvement,23.94,4.7,1649,https://m.media-amazon.com/images/I/51zTxGXqJyL._AC_SL1280_.jpg
B0C35WFNZF,112.1043347971212,0.172264,"COSMO 5U30 30 in. Under Cabinet Range Hood with Ducted/Ductless Convertible (Kit Not Included), Slim Kitchen Over Stove Vent, 3 Speed Exhaust Fan, Reusable Filter, LED Lights in Stainless Steel",Cosmo,Range Hoods,Appliances,112.5,4.4,8597,https://m.media-amazon.com/images/I/71xVr5dytCL._AC_SL1500_.jpg
B0BHNSLKNZ,111.79465006162285,0.171787,"Cuisinart Replacement Water Filters, 2-Pack",Cuisinart,Permanent Filters,Amazon Home,6.99,4.8,3914,https://m.media-amazon.com/images/I/71TMesVlwXL._AC_SL1500_.jpg
B0C71KVMY9,111.69047824515275,0.171626,"Frigidaire EFIC452-SSRED XL Maker, Makes 40 Lbs. of Clear Square Ice Cubes A Day, Stainless, Red Steel",Frigidaire,Ice Makers,Appliances,161.1,4.3,3476,https://m.media-amazon.com/images/I/71Po7-ofAVS._SL1500_.jpg
B0C3CWNMQW,104.18443555837138,0.160048,"GLACIER FRESH LT1000PC Replacement Water Filter, Compatible with LT1000PC/PCS, LT1000PC, LT-1000PC Water Filter and LT120F ADQ73334008 Fresh Air Filter 4 Pack",Glacier Fresh,Water Filters,Amazon Home,45.99,4.6,10693,https://m.media-amazon.com/images/I/71gycZ4ZR5L._AC_SL1500_.jpg
B0BWCTGXFT,102.81888229823579,0.157941,(2023 Update) 3392519 Dryer Thermal Fuse Replacement Part by BlueStars - Kenmore Dryer Thermal Fuse Exact Fit for Whirlpool Kenmore - Replaces AP6008325 3388651 694511 80005 WP3392519VP,Bluestars,Replacement Parts,Appliances,4.39,4.7,8102,https://m.media-amazon.com/images/I/71MzNnsZlHL._AC_SL1500_.jpg
B0BW9RFG33,101.56211992515745,0.156003,Ultra Durable 279834 Dryer Gas Valve Ignition Solenoid Coil Kit Replacement Part by BlueStars - Exact Fit for Whirlpool Kenmore Maytag Dryers - Replaces AP3094251 PS334310 12001349 - PACK OF 6,Bluestars,Replacement Parts,Appliances,28.99,4.7,4628,https://m.media-amazon.com/images/I/81lcH+cfjUS._AC_SL1500_.jpg
B0CDB81XYH,101.1600682364607,0.155382,"15Ft Stainless Steel Braided Ice Maker Hose Water Supply Hose With Universal 1/4\" Connectors",Freezimer,Hoses,Appliances,15.99,4.7,40,https://m.media-amazon.com/images/I/71t7-Bvb-SL._AC_SL1500_.jpg
B0CBLTJ7PV,100.13181568575192,0.153796,3387747 Heating Element & 279816 Thermostat Cut off Kit & 3392519 Thermal Fuse for Maytag Whirlpool Kenmore Dryer Heating Element Assembly -Replaces AP6008281 8527865 PS11741416 AP3094244 AP6008325,Konduone,Replacement Parts,Tools & Home Improvement,32.99,4.3,695,https://m.media-amazon.com/images/I/617YSn7U74L._AC_SL1000_.jpg
B0BWCL9WCH,98.95799180989064,0.151986,"PARTY BARGAINS 600 Paper Coffee Filters - White Classic Design Single-Use Coffee Filter Compatible for Keurig 1.0 & 2.0, Perfect Size and Quantity",Party Bargains,Disposable Filters,Amazon Home,28.99,4.5,8934,https://m.media-amazon.com/images/I/716-9FknSfL._AC_SL1500_.jpg
B0C86NF3DH,98.46533932549103,0.151226,Panda 3200 rpm Portable Spin Dryer 110V/22lbs Stainless Steel,Panda,Portable Dryers,Appliances,179.99,4.4,410,https://m.media-amazon.com/images/I/51ncOBIHlxL._AC_SL1390_.jpg
B0C5HQ6LFJ,95.04111360486665,0.145944,"Supco 8 Cube Ice Maker Replacement Kit for Whirlpool, Kenmore, KitchenAid, Part No. RIM597",Supco,Ice Makers,Tools & Home Improvement,51.23,4.2,2420,https://m.media-amazon.com/images/I/51-BLv5OSAL._SL1200_.jpg
B0BHVB8BF4,92.96427690994527,0.14274,"SAMSUNG Genuine Filters for Refrigerator Water and Ice, Carbon Block Filtration for Clean, Clear Drinking Water, DA29-00003G, 2 Pack",Samsung,Water Filters,Tools & Home Improvement,59.0,4.3,9647,https://m.media-amazon.com/images/I/81OSxEWu4IL._AC_SL1500_.jpg
B0C9WRW2V1,92.54259093314154,0.14209,"Crystala Filters DA97-17376B Refrigerator Water Filter Replacement for Samsung HAF-QIN, HAF-QIN/EXP, BRF365200AP/AA, DA97-08006C, RF23M8070SG, RF23M8070SR (1 Pack)",Crystala Filters,Water Filters,Amazon Home,11.99,4.6,3579,https://m.media-amazon.com/images/I/61LoDjppkBL._AC_SL1500_.jpg
B0C5F5TXZM,92.218287490961,0.141589,"Pureline 9690, LT700P Replacement for LG LT700P, Kenmore Elite 9690, Kenmoreclear 46-9690, ADQ36006101, HDX FML-3, Refrigerator Water Filter, NSF 372 and NSF 42 Certification (2 Pack)",Pureline,Water Filters,Tools & Home Improvement,29.99,4.7,8724,https://m.media-amazon.com/images/I/81R3Q7YxCnL._AC_SL1500_.jpg
B0BYJ8JYL3,92.17625876683795,0.141524,"4P Refrigerator Water Drip Tray Catcher,Water Drip Splash Guard Catcher Absorbent Mat Pads for Ge,Whirlpool,Samsung Refrigerator Water & Ice Dispenser,Kitchen Gadgets Accessories,White Grey,Big…",Oyrlize,Drip Pans,Tools & Home Improvement,19.93,4.1,1727,https://m.media-amazon.com/images/I/71i9fezkcmL._AC_SL1000_.jpg
B0C6695YHW,91.0197795014333,0.139741,"Eastman Washing Machine Connector, 3/4 Inch FHT Connection, 90 Degree Elbow, 6 Foot Braided Stainless Steel Washing Machine Hoses, 41066",Eastman,Washer Parts & Accessories,Industrial & Scientific,21.33,4.8,2628,https://m.media-amazon.com/images/I/61-snMErrtL._AC_SL1000_.jpg
B0C2Z4QHXG,89.69601305195545,0.137699,GLACIER FRESH XWF Replacement for GE XWF Refrigerator Water Filter Pack of 3,Glacier Fresh,Water Filters,Amazon Home,33.99,4.5,14844,https://m.media-amazon.com/images/I/61-mGmoQYGL._AC_SL1500_.jpg
B09VTZ54J7,89.5942321399565,0.137542,"GE RPWFE Refrigerator Water Filter | Certified to Reduce Lead, Sulfur, and 50+ Other Impurities | Replace Every 6 Months for Best Results | Pack of 2",Ge,Water Filters,Tools & Home Improvement,106.93,4.7,48905,https://m.media-amazon.com/images/I/71RTN-j2mlL._AC_SL1500_.jpg
B0C5XCY6CX,88.50533975581125,0.135862,"Waterspecialist UKF8001 Water Filter, Replacement for EveryDrop Filter 4, Whirlpool EDR4RXD1, 4396395, Wrx735sdbm00, Mfi2570fez Msd2651heb, Krfc300ess01, 469006, Pack of 3",Waterspecialist,Water Filters,Amazon Home,24.99,4.8,3254,https://m.media-amazon.com/images/I/715jqUVdTNL._AC_SL1500_.jpg
B0C9VMLRBW,88.06107353283204,0.135177,"Ice Maker Machine for Countertop, 9 Ice Cubes Ready in 6 Minutes, 26lbs in 24Hrs Portable Ice Maker Machine Self-Cleaning, 2 Sizes of Bullet-Shaped Ice for Home Kitchen Office Bar Party",Silonn,Ice Makers,Appliances,93.04,4.3,1386,https://m.media-amazon.com/images/I/51AvMzxFoYL._SL1500_.jpg
B0C9F1F7SC,87.43514304484717,0.134211,"Silonn Countertop Ice Maker, 45lbs Per Day, 24Pcs Ice Cubes in 13 Min, 2 Ways to Add Water, Auto Self-Cleaning, Stainless Steel Ice Machine for Home Office Bar Party",Silonn,Ice Makers,Appliances,179.99,4.3,1425,https://m.media-amazon.com/images/I/715dIUFikzL._SL1500_.jpg
B09YC8YCV6,86.75282279446391,0.133159,"Cuisinart SS-10P1 Premium 72-Ounce Single-Serve Coffemaker, Stainless Steel & Cuisinart HomeBarista Reusable Filter Cup, Gray",Cuisinart,Reusable Filters,Amazon Home,162.27,4.3,16507,https://m.media-amazon.com/images/I/51g45o6XVAL._AC_SL1001_.jpg
B0CH358MHW,86.5769129404722,0.132887,"Waterspecialist XWF NSF Certified Refrigerator Water Filter, Replacement for GE® XWF, 3 Filters",Waterspecialist,Water Filters,Amazon Home,23.99,4.6,1164,https://m.media-amazon.com/images/I/71G5SHqO5zL._AC_SL1500_.jpg
B0CCXRX5ZG,85.29640912598491,0.130912,[UPGRADED] Ultra Durable AGM73610701 Washer Magnetic Door Plunger Replacement Part By BlueStars - Easy to Install - Exact Fit For LG & Kenmore Washers - Replaces AGM73610702 AP5331994 MEG61961401,Bluestars,Doors,Tools & Home Improvement,11.69,4.5,679,https://m.media-amazon.com/images/I/71JjbKeC9VL._AC_SL1500_.jpg
B0C5HJ4NM6,84.4666303957081,0.129632,[LIFETIME WARRANTY] Ultra Durable 3387747 Dryer Heating Element Replacement Part by BlueStars – Exact Fit For Whirlpool Kenmore Maytag Dryers – Replaces AP6008281 8527865 AP2947033 PS344597 PS11741416,Bluestars,Replacement Parts,Tools & Home Improvement,20.99,4.6,717,https://m.media-amazon.com/images/I/81UBPH3PbdL._AC_SL1500_.jpg
B0BTV3G59T,83.6158327816013,0.12832,Perfect Pod EZ-Cup Filters by Perfect Pod (150 Filters),Perfect Pod,Disposable Filters,Amazon Home,16.99,4.8,10257,https://m.media-amazon.com/images/I/712+8iHZx0L._AC_SL1500_.jpg
B0C5Z948P5,83.43198103676475,0.128036,"W11130362 Washer Suspension Rod Kit (Updated) Compatible with Whirlpool Washing Machine - WTW5000DW2, WTW5000DW0, MVWC565FW0, 11022352510 - Include 4 Rods, 5 Suspension Balls and Bushings",Ami Parts,Drain Pumps,Appliances,44.99,3.8,298,https://m.media-amazon.com/images/I/612nH9yM8fL._AC_SL1500_.jpg
B0BWCZ6WNR,83.14391523328275,0.127592,[PACK OF 4] UPGRADED 3392519 Dryer Thermal Fuse Replacement Part by BlueStars - Easy to Install - Exact Fit for Whirlpool Kenmore Dryers - Replaces AP6008325 3388651 694511 80005 WP3392519VP,Bluestars,Replacement Parts,Tools & Home Improvement,9.39,4.7,3975,https://m.media-amazon.com/images/I/712mgY5+mqL._AC_SL1500_.jpg
B0BMPQXGMG,82.20694370875022,0.126146,LG 4681EA2001T Genuine OEM Drain Pump Assembly for LG Washing Machines,Lg,Drain Pumps,Tools & Home Improvement,36.65,4.7,4258,https://m.media-amazon.com/images/I/71XEmXaXHVL._AC_SL1500_.jpg
B0C8TTNRMH,81.90069576558864,0.125674,Whirlpool 8171587RP Genuine OEM Telescoping Vent Kit For Dryers 0 To 5 Inches*,Whirlpool,Vents,Appliances,26.97,3.9,830,https://m.media-amazon.com/images/I/51Kz6ZTySGL._AC_SL1280_.jpg
B0BJPY1F7S,81.0338012398431,0.124337,"Pro Mael Disposable Coffee Filters Paper for Keurig Brewers Single Serve 1.0 and 2.0 Use with All Brands Reusable K Cup Pods, White 720 Filters (Pack of 2)",Pro Mael,Disposable Filters,Amazon Home,33.49,4.6,14557,https://m.media-amazon.com/images/I/71pFl3BdFQL._AC_SL1200_.jpg
B0C73FHMPX,80.9904497948866,0.12427,(2023 Update) W10225581 Refrigerator Bimetal Defrost Thermostat Replacement by BlueStars - Exact Fit for Whirlpool Kenmore - Replaces WPW10225581 PS11750673 AP6017375 2188824 2321799 W10260437,Bluestars,Parts & Accessories,Tools & Home Improvement,9.99,4.6,1313,https://m.media-amazon.com/images/I/71nFa7bfMYL._AC_SL1500_.jpg
B0BYYK77PY,79.38359167826609,0.121791,[UPGRADED] Ultra Durable 279816 Dryer Thermal Cut-off Kit Replacement Part by BlueStars - Easy to Install - Exact Fit for Whirlpool & Kenmore Dryers - Replaces 3399848 AP3094244 PS334299 279816VP,Bluestars,Replacement Parts,Tools & Home Improvement,9.99,4.5,2068,https://m.media-amazon.com/images/I/71MJR-LxmaL._AC_SL1500_.jpg
